classical_2_class
-------------------------------
Epoch  Train Acc   Val Acc   Train Loss  Val Loss 
--------------------------------------------------
  0      0.9740     1.0000     0.0763     0.0096  
  1      1.0000     1.0000     0.0039     0.0045  
  2      1.0000     1.0000     0.0014     0.0047  
  3      1.0000     1.0000     0.0008     0.0032  
  4      1.0000     1.0000     0.0002     0.0022  
  5      1.0000     1.0000     0.0002     0.0016  
  6      1.0000     1.0000     0.0001     0.0007  
  7      1.0000     1.0000     0.0001     0.0011  
  8      1.0000     1.0000     0.0001     0.0020  
  9      1.0000     1.0000     0.0000     0.0021  
  10     1.0000     1.0000     0.0001     0.0009  
  11     1.0000     1.0000     0.0001     0.0022  
  12     1.0000     1.0000     0.0001     0.0023  
  13     1.0000     1.0000     0.0001     0.0023  
  14     1.0000     1.0000     0.0001     0.0023  
  15     1.0000     1.0000     0.0001     0.0014  
  16     1.0000     1.0000     0.0001     0.0010  
  17     1.0000     1.0000     0.0000     0.0023  
  18     1.0000     1.0000     0.0001     0.0022  
  19     1.0000     1.0000     0.0001     0.0010  
  20     1.0000     1.0000     0.0001     0.0012  
  21     1.0000     1.0000     0.0001     0.0010  
  22     1.0000     1.0000     0.0001     0.0023  
  23     1.0000     1.0000     0.0001     0.0023  
  24     1.0000     1.0000     0.0001     0.0010  
  25     1.0000     1.0000     0.0001     0.0010  
  26     1.0000     1.0000     0.0001     0.0022  
  27     1.0000     1.0000     0.0001     0.0022  
  28     1.0000     1.0000     0.0001     0.0022  
  29     1.0000     1.0000     0.0001     0.0022  
  30     1.0000     1.0000     0.0001     0.0022  
  31     1.0000     1.0000     0.0001     0.0022  
  32     1.0000     1.0000     0.0000     0.0010  
  33     1.0000     1.0000     0.0001     0.0012  
  34     1.0000     1.0000     0.0001     0.0022  
  35     1.0000     1.0000     0.0000     0.0022  
  36     1.0000     1.0000     0.0001     0.0010  
  37     1.0000     1.0000     0.0001     0.0022  
  38     1.0000     1.0000     0.0001     0.0022  
  39     1.0000     1.0000     0.0000     0.0022  
  40     1.0000     1.0000     0.0001     0.0022  
  41     1.0000     1.0000     0.0000     0.0022  
  42     1.0000     1.0000     0.0000     0.0022  
  43     1.0000     1.0000     0.0000     0.0022  
  44     1.0000     1.0000     0.0000     0.0011  
  45     1.0000     1.0000     0.0000     0.0010  
  46     1.0000     1.0000     0.0000     0.0020  
  47     1.0000     1.0000     0.0000     0.0020  
  48     1.0000     1.0000     0.0000     0.0020  
  49     1.0000     1.0000     0.0000     0.0020  
  50     1.0000     1.0000     0.0000     0.0010  
  51     1.0000     1.0000     0.0000     0.0010  
  52     1.0000     1.0000     0.0000     0.0020  
  53     1.0000     1.0000     0.0000     0.0020  
  54     1.0000     1.0000     0.0000     0.0019  
  55     1.0000     1.0000     0.0000     0.0009  
  56     1.0000     1.0000     0.0000     0.0010  
  57     1.0000     1.0000     0.0000     0.0019  
  58     1.0000     1.0000     0.0000     0.0019  
  59     1.0000     1.0000     0.0000     0.0019  
  60     1.0000     1.0000     0.0000     0.0019  
  61     1.0000     1.0000     0.0000     0.0019  
  62     1.0000     1.0000     0.0000     0.0019  
  63     1.0000     1.0000     0.0000     0.0010  
  64     1.0000     1.0000     0.0000     0.0019  
  65     1.0000     1.0000     0.0000     0.0010  
  66     1.0000     1.0000     0.0000     0.0019  
  67     1.0000     1.0000     0.0000     0.0009  
  68     1.0000     1.0000     0.0000     0.0009  
  69     1.0000     1.0000     0.0000     0.0009  
  70     1.0000     1.0000     0.0000     0.0018  
  71     1.0000     1.0000     0.0000     0.0018  
  72     1.0000     1.0000     0.0000     0.0018  
  73     1.0000     1.0000     0.0000     0.0018  
  74     1.0000     1.0000     0.0000     0.0009  
  75     1.0000     1.0000     0.0000     0.0018  
  76     1.0000     1.0000     0.0000     0.0018  
  77     1.0000     1.0000     0.0000     0.0017  
  78     1.0000     1.0000     0.0000     0.0017  
  79     1.0000     1.0000     0.0000     0.0017  
  80     1.0000     1.0000     0.0000     0.0017  
  81     1.0000     1.0000     0.0000     0.0017  
  82     1.0000     1.0000     0.0000     0.0017  
  83     1.0000     1.0000     0.0000     0.0017  
  84     1.0000     1.0000     0.0000     0.0009  
  85     1.0000     1.0000     0.0000     0.0016  
  86     1.0000     1.0000     0.0000     0.0009  
  87     1.0000     1.0000     0.0000     0.0016  
  88     1.0000     1.0000     0.0000     0.0016  
  89     1.0000     1.0000     0.0000     0.0016  
  90     1.0000     1.0000     0.0000     0.0009  
  91     1.0000     1.0000     0.0000     0.0009  
  92     1.0000     1.0000     0.0000     0.0016  
  93     1.0000     1.0000     0.0000     0.0009  
  94     1.0000     1.0000     0.0000     0.0016  
  95     1.0000     1.0000     0.0000     0.0008  
  96     1.0000     1.0000     0.0000     0.0016  
  97     1.0000     1.0000     0.0000     0.0009  
  98     1.0000     1.0000     0.0000     0.0016  
  99     1.0000     1.0000     0.0000     0.0016  
-------------------------------
Classical test score: 1.0000
Hybrid_CC_2_class
-------------------------------
Epoch  Train Acc   Val Acc   Train Loss  Val Loss 
--------------------------------------------------
  0      0.5000     0.5000     0.2697     0.2621  
  1      0.5052     0.4844     0.2556     0.2616  
  2      0.5104     0.4844     0.2492     0.2559  
  3      0.4844     0.5312     0.2521     0.2390  
  4      0.4948     0.5156     0.2466     0.2417  
  5      0.5000     0.4688     0.2378     0.2384  
  6      0.5417     0.5781     0.2314     0.2201  
  7      0.5625     0.6562     0.2265     0.2190  
  8      0.5990     0.6094     0.2172     0.2244  
  9      0.5312     0.6406     0.2162     0.2008  
  10     0.6927     0.7188     0.2169     0.2127  
  11     0.7292     0.7500     0.2070     0.1875  
  12     0.7031     0.6250     0.1858     0.2162  
  13     0.7344     0.7344     0.1816     0.1695  
  14     0.7188     0.7500     0.1869     0.1586  
  15     0.7083     0.6875     0.1712     0.1927  
  16     0.7031     0.7344     0.1825     0.1844  
  17     0.7552     0.7812     0.1713     0.1536  
  18     0.7292     0.7188     0.1516     0.1408  
  19     0.7448     0.7656     0.1542     0.1318  
  20     0.7448     0.7656     0.1428     0.1681  
  21     0.7240     0.8125     0.1421     0.1335  
  22     0.7448     0.6406     0.1536     0.1580  
  23     0.7344     0.7656     0.1348     0.1649  
  24     0.7552     0.8438     0.1246     0.1644  
  25     0.8021     0.7969     0.1390     0.1583  
  26     0.7708     0.7656     0.1337     0.1234  
  27     0.7865     0.7031     0.1430     0.1390  
  28     0.7344     0.6719     0.1362     0.1516  
  29     0.7500     0.7344     0.1365     0.1273  
  30     0.7500     0.7969     0.1438     0.1559  
  31     0.6927     0.7656     0.1255     0.1297  
  32     0.7396     0.7500     0.1392     0.1355  
  33     0.7604     0.8594     0.1144     0.1461  
  34     0.8125     0.7969     0.1508     0.1307  
  35     0.7344     0.6562     0.1377     0.1366  
  36     0.7656     0.7656     0.1334     0.1095  
  37     0.7031     0.7500     0.1364     0.1294  
  38     0.8073     0.7656     0.1252     0.1310  
  39     0.7552     0.8594     0.1395     0.1343  
  40     0.7760     0.7500     0.1231     0.1123  
  41     0.7396     0.7344     0.1272     0.1317  
  42     0.7552     0.7188     0.1282     0.1170  
  43     0.7604     0.7812     0.1314     0.0957  
  44     0.8021     0.7969     0.1234     0.1370  
  45     0.7552     0.7656     0.1291     0.1560  
  46     0.8229     0.7344     0.1502     0.1323  
  47     0.7500     0.7969     0.1208     0.1610  
  48     0.7917     0.7188     0.1417     0.1289  
  49     0.8385     0.7500     0.1345     0.1216  
  50     0.7969     0.7656     0.1075     0.1233  
